# name	slug
Tratamientos faciales	cuidado-facial-corporal
Triciclos y Montables	juguetes-exterior-aire-libre
Trifolios o display board	cuadernos-libretas-hojas
Triturador	utiles-escolares-oficina
Tronzadoras	herramientas-electricas
Tuberculos	verduras-hortalizas
Tuberia para Electricidad	electricidad
Tubería y Radiadores	componentes-pc
Tubo EMT, Flexible y Poliducto	electricidad
Tubos Conduit Pvc y Cpvc	electricidad
Tubos Conduit y Flexible PVC , Acces.	electricidad
Tubos de Cobre	plomeria
Tubos Led	iluminacion
Tubos Metalicos	materiales-construccion
Tuercas para LLanta	repuestos-y-mantenimiento
TV Thursday	-
TV Y VIDEO	tv-video
Twin	refrigeracion
Umbrales para puerta y pisos	materiales-construccion
Unidades de estanterías	almacenamiento-taller
Unifuncional	impresoras
Ups	energia-respaldo
UPS y Protector de Corriente	energia-respaldo
Ups, Protectores y Supresores	energia-respaldo
Usados	-
USB	almacenamiento-datos
Usb a rj45	cables-adaptadores
USB C	cables-adaptadores
Usb wifi	redes
Uso Personal	jabones-geles-bano
Uso Pesonal	jabones-geles-bano
Utensilios comerciales para cocina	accesorios-para-cocina
Utensilios de cocina	accesorios-para-cocina
Utensilios de Repostería	accesorios-para-cocina
UTENSILIOS DEL HOGAR	accesorios-para-cocina
UTENSILIOS DESECHABLES	desechables
Utensilios para asar	jardin-exteriores
Utensilios para Cocina	accesorios-para-cocina
Utensilios para la cocina	accesorios-para-cocina
Útiles escolares	utiles-escolares-oficina
Uvas	frutas-frescas
Vainicas enteras	verduras-hortalizas
Vajilla	accesorios-mesa-vajillas
Vajilla y cubiertos desechables de temporada	desechables
Vajillas	accesorios-mesa-vajillas
Vajillas, Cubiertos y Recipientes	accesorios-mesa-vajillas
Varilla Cobre	plomeria
Varilla Hierro	materiales-construccion
Varilla Roscada	fijacion-herrajes
Varios	-
Varistores	componentes-electronicos
Vasos desechables	desechables
Vasos y Copas	accesorios-mesa-vajillas
Vasos y platos	desechables
Vegetales	verduras-hortalizas
Vegetales enlatados	enlatados-conservas
Vegetales Procesados Mix	ensaladas-empacadas
Vehículo	-
Vehículos de colección	munecas-figuras-vehiculos
Vehículos de juego	munecas-figuras-vehiculos
Vehículos, pistas y control remoto	munecas-figuras-vehiculos
Velas	decoracion-muebles
Velas y aromaterapia	decoracion-muebles
Vendas	primeros-auxilios
Ventilador	climatizacion
Ventiladores	climatizacion
Ventiladores de techo	climatizacion
Ventiladores y Extractores	climatizacion
Verano	-
Verduras	verduras-hortalizas
Verduras congeladas	ensaladas-empacadas
Verduras frescas	verduras-hortalizas
Verticales	refrigeracion
Vestidos para mujeres	ropa-femenina
Vestuario y textil bebé	ropa-bebe
Viaja	maletas-y-equipaje
Vida Fit	accesorios-fitness-y-ejercicio
Video porteros e intercomunicadores	seguridad-vigilancia
Videojuegos	videojuegos
Videojuegos y consolas	videojuegos
VIDEOVIGILANCIA Y SEGURIDAD	seguridad-vigilancia
Vidrios Templados	accesorios-celular
Vinagre	aceites-mantecas-aderezos
Vineras / Centro de Bebida	refrigeracion
Vino blanco	vinos
Vino espumante	vinos
Vino rosado	vinos
Vino tinto	vinos
Vinos	vinos
Vinos y Licores	cervezas-vinos-licores
Vísceras y Menudos	carne-de-res
Vitamina A y D	vitaminas-suplementos
Vitamina C	vitaminas-suplementos
Vitamina E	vitaminas-suplementos
Vitaminas	vitaminas-suplementos
Vitaminas y Minerales	vitaminas-suplementos
Vitaminas y Suplementos	vitaminas-suplementos
Vodka	whisky-vodka-ginebra
Volleyball	disciplinas-deportivas
Waffleras	electrodomesticos-cocina
Waflera	electrodomesticos-cocina
Watercooling	componentes-pc
Whirlpool	-
Whisky	whisky-vodka-ginebra
Xbox	videojuegos
Xiaomi	telefonos-celulares
Yoga	accesorios-fitness-y-ejercicio
Yogurt	yogurt-postres-lacteos
Yogurt Batido	yogurt-postres-lacteos
Yogurt Bebible	yogurt-postres-lacteos
Yogurt Natural	yogurt-postres-lacteos
Zanahoria	verduras-hortalizas
Zapateras	organizacion-almacenamiento
Zapatería	calzado
Zapatos Para Hombre	calzado-masculino
Zapatos para hombres	calzado-masculino
Zapatos Para Mujer	calzado-femenino
Zapatos para mujeres	calzado-femenino
Zapatos para niños	calzado-infantil
Zapatos, guantes y gorros para niños	ropa-infantil
Zocalo	materiales-construccion
Desinfectantes	limpiadores-desinfectantes
Piletas de cocina	plomeria
Piletas y Lavatrastos	plomeria
