# name	slug
Mesas para oficina	muebles-oficina
Mesas para picnic	jardin-exteriores
Mesas y Espejos	muebles
Mesas y Sillas	muebles
Mesitas de living y mesitas de café	muebles
Metabolismo	vitaminas-suplementos
Metas deportivas	-
Mezcladoras,Moldes y Salpicadoras	maquinaria
MEZCLADORES	hielo-mezcladores
Mezclas en polvo	harinas-mezclas-reposteria
Mezclas para hornear	harinas-mezclas-reposteria
Micas y Disipadores	componentes-electronicos
Micro SD 256 GB	almacenamiento-datos
Micrófonos	audio
Micrófonos y Cámaras	audio
Microondas	electrodomesticos-cocina
Microsoft Office	software
Miel	cereales-avenas-barras
Minas	escritura-correccion
Minecraft	bloques-construccion
Mini figuras	munecas-figuras-vehiculos
Mini patinetas	juguetes-exterior-aire-libre
Mini split	climatizacion
Minibar	refrigeracion
Minifiguras	munecas-figuras-vehiculos
Minivegetales	verduras-hortalizas
Mixers	hielo-mezcladores
Mobiliario	muebles
Mobiliario para el patio	jardin-exteriores
Mochilas	utiles-escolares-oficina
Mochilas y demas	utiles-escolares-oficina
Mochilas y fundas	bolsos-deportivos-y-maletines
Mochilas y lapiceras	utiles-escolares-oficina
Mochilas y maletines	bolsos-deportivos-y-maletines
Moda y accesorios	-
Moda y accesorios hombres	ropa-masculina
Moda y accesorios infantiles	ropa-infantil
Moda y accesorios mujer	ropa-femenina
Modo Vacaciones	-
Módulos para proyectos	componentes-electronicos
Molduras y Accesorios	materiales-construccion
Molidas	carne-de-res
Molinillo de Café	electrodomesticos-cocina
Molinos	accesorios-para-cocina
Monitoreo de glucosa	equipo-medico
Monitores	perifericos
Monitores 4K y 5K	perifericos
Monitores BTS	perifericos
Monitores de glucosa	equipo-medico
Monitores de tensión arterial	equipo-medico
Monitores gaming	perifericos
Monitores para computadoras	perifericos
Monitores Ultra Wide	perifericos
Montables, bicicletas y scooters	juguetes-exterior-aire-libre
MONTES	-
Mostrador e impulso	articulos-promocionales-e-impulso
Motores	maquinaria
Motores Acuáticos	maquinaria
Motores para proyectos	componentes-electronicos
Motores y Generadores	maquinaria
Motorola	telefonos-celulares
Motos	motos-y-cuatrimotos
Motos para el Verano	motos-y-cuatrimotos
Motosierras	herramientas-electricas
MotoTaxi	motos-y-cuatrimotos
Mouse	perifericos
Mouse alambricos	perifericos
Mouse BTS	perifericos
Mouse gaming	perifericos
Mouse Inalambricos	perifericos
Mouse Pads	perifericos
Mouse Teclados y Controles	perifericos
Mouse y Teclados	perifericos
Mousepads	perifericos
Movilidad y rehabilitación	equipo-medico
Muebles	muebles
Muebles de Jardín	jardin-exteriores
Muebles de oficina	muebles-oficina
Muebles Exterior	jardin-exteriores
Muebles para Baño	bano
Muebles para Bar	muebles
Muebles para Cocina	muebles
Muebles para comedor	muebles
Muebles para el dormitorio	muebles
Muebles para jardin	jardin-exteriores
Muebles para Mascotas	juguetes-accesorios-mascotas
Muebles para niños	muebles
Muebles para Oficina	muebles-oficina
Muebles para sala	muebles
Muebles y Camas	muebles
Muffins	panaderia-reposteria
Mujer	ropa-femenina
Multicontactos BTS	electricidad
Multifuncionales	impresoras
Multiherramientas	herramientas-manuales
Multímetros	medicion
Multivitaminas	vitaminas-suplementos
Multivitamínicos Adulto	vitaminas-suplementos
Multivitamínicos y Capsulas Niños	vitaminas-suplementos
Mundial	-
Mundo bebé	-
Mundo de Bebé	-
Muñecas	munecas-figuras-vehiculos
Muñecos bebés	munecas-figuras-vehiculos
Muñecos de peluche	munecas-figuras-vehiculos
Muñecos y figuras de acción	munecas-figuras-vehiculos
Musculación	pesas-y-equipos-de-fuerza
Musculos/Articulaciones/Hueso	analgesicos-antiinflamatorios
Naranja, Limón y cítricos	frutas-frescas
Naranjas	frutas-frescas
Natación	disciplinas-deportivas
Nauseas y vómito	salud-digestiva
Navajas y Cuchillos	herramientas-manuales
Navidad	navidad
Nebulizadores	equipo-medico
Nebulizadores y succionadores	equipo-medico
Néctar	jugos-nectares
Nevera, Hieleras y Termos	camping
Niñas	ropa-infantil
Ninjago	bloques-construccion
Niños	ropa-infantil
Nintendo	videojuegos
NO ALIMENTOS	-
No Break-Lluvia	energia-respaldo
NO PERECEDEROS	abarrotes
Notas adhesivas	utiles-escolares-oficina
Nueces y Almendras	snacks-botanas-galletas
Nueces y semillas	snacks-botanas-galletas
NUEVO	-
Nuevos	-
Nutrición	vitaminas-suplementos
Nutrición Deportiva	nutricion-deportiva
o carga	-
Ofertas Calientes	-
Ofertas Televisores	tv-video
Ofertas Verano	-
Oficina	-
Oftalmológicos	medicamentos
Ollas arroceras y de cocción	electrodomesticos-cocina
Ollas de Presión	accesorios-para-cocina
Ollas para cocinar arroz	electrodomesticos-cocina
Ollas y cacerolas	accesorios-para-cocina
Ollas y Frideras	accesorios-para-cocina
Ollas, Baterías y Sartenes	accesorios-para-cocina
Omega 3	vitaminas-suplementos
On Ear	audio
Oncológicos	medicamentos
Ondulador de Cabello	cuidado-personal-electrico
One Piece TCG	coleccionables-tcg
One Piece TCG · Accesorios	coleccionables-tcg
One Piece TCG · Booster Box (JP)	coleccionables-tcg
One Piece TCG · Starter Decks	coleccionables-tcg
One Piece TCG · Tins	coleccionables-tcg
Onesies para bebés y niños pequeños	ropa-bebe
ONNA	-
Open Ear	audio
Óptica	lentes-y-gorras
Optoelectrónica	componentes-electronicos
Organización	organizacion-almacenamiento
Organización de Cocina	organizacion-almacenamiento
Organización del hogar	organizacion-almacenamiento
Organización para el garage	almacenamiento-taller
Organización y Almacenamiento	organizacion-almacenamiento
Organizador escolar	utiles-escolares-oficina
Organizador escritorio	utiles-escolares-oficina
Organizador y almacenamiento	organizacion-almacenamiento
Organizadores	organizacion-almacenamiento
Organizadores de armarios	organizacion-almacenamiento
Organizadores de Cables	cables-adaptadores
Organizadores de escritorio	utiles-escolares-oficina
Organizadores de lápices	utiles-escolares-oficina
Organizadores para Vehículo	accesorios-cuidado-autos
Orilladora y Cortagrama	jardin-exteriores
Ortopedia	equipo-medico
