# name	slug   ("-" = sin mapear a propósito: promo, marca, basura)
Galletas	snacks-botanas-galletas
Closets y Gabinetes	muebles
Cobertizos	jardin-exteriores
Cobertores	camas-colchones-blancos
Cobertores para Lavadora	lavado-secado
Cobijas y Frazadas	camas-colchones-blancos
Cochés para bebé	puericultura-coches-sillas
Coches, asientos de auto y canguros	puericultura-coches-sillas
Cocina	accesorios-para-cocina
COCINA INTERNACIONAL	abarrotes
Cocinas y Hornos	estufas-hornos
Cocinitas	juegos-imitacion
Codigos digitales	videojuegos
Cojines	textil-hogar
Cojines decorativos	decoracion-muebles
Colados 2da etapa	alimentacion-infantil-formulas
Colados 3ra etapa	alimentacion-infantil-formulas
Colados 4ta etapa y junior	alimentacion-infantil-formulas
Colágeno	vitaminas-suplementos
Colchas y Edredones	camas-colchones-blancos
Colchones	camas-colchones-blancos
Colchones de aire	camping
Colchones y Blancos	camas-colchones-blancos
Colchones y sillas inflables	jardin-exteriores
Colchonetas	accesorios-fitness-y-ejercicio
Colchonetas para ejercicio	accesorios-fitness-y-ejercicio
Coleccionables	coleccionables-tcg
Coleccionables Panini	coleccionables-tcg
Colesterol y Trigliceridos	medicamentos
Colgantes Navidad	navidad
Collares y Correas	juguetes-accesorios-mascotas
Collares y Pecheras	juguetes-accesorios-mascotas
Collarines	equipo-medico
Colorantes	harinas-mezclas-reposteria
Colorantes y Almidones	detergentes-suavizantes
Colores, crayolas y plumas	escritura-correccion
Combos	-
Comederos	juguetes-accesorios-mascotas
Comedores	muebles
Comedores y Muebles de Cocina	muebles
Comfort Total	-
Comida congelada	congelados
Comida Fácil	comidas-preparadas
Comida para bebé y lactancia	alimentacion-infantil-formulas
Comida para perros	alimento-para-perros
Comida vegetariana	enlatados-conservas
COMIDAS	comidas-preparadas
Comidas preparadas	comidas-preparadas
Compartimientos de almacenaje	organizacion-almacenamiento
Compas y Flautas	utiles-escolares-oficina
Complejo B	vitaminas-suplementos
Complementos	-
Complementos de PC	perifericos
Complementos Ejercicio	accesorios-fitness-y-ejercicio
Complementos Juegos de Video	videojuegos
Complementos Línea Blanca	lavado-secado
Complementos menaje sala y comedor	accesorios-para-cocina
Complementos TV y Video	tv-video
Componentes	componentes-pc
Compresas	primeros-auxilios
Compresores	maquinaria
Computación	computadoras
Computadoras	computadoras
Computadoras de escritorio	computadoras
Computadoras portátiles	computadoras
Computadoras y Tablets	computadoras
Computadoras, tablets y accesorios	computadoras
Comunicación Satelital	radios-comunicacion
Condensada	leche-liquida-polvo
Condimentos	azucar-endulzantes-especias
Conecta	-
Conectividad y redes	redes
Conectores	componentes-electronicos
Conectores de Audio	cables-adaptadores
Conectores de red	redes
CONECTORES DE VIDEO	cables-adaptadores
Conectores para Alimentación y Terminales	electricidad
Conectores y Adaptadores para PC	cables-adaptadores
Conectores y Terminales	electricidad
Conexiones y Redes	redes
Confites	dulces-chocolates
Congeladores	refrigeracion
CONGELADOS	congelados
Conjuntos para bebé	ropa-bebe
Conjuntos para Hombres	ropa-masculina
Conjuntos para Mujeres	ropa-femenina
Conjuntos para niños y niñas	ropa-infantil
Consolas	videojuegos
Consolas de videojuegos	videojuegos
Consolas Video Juegos	videojuegos
Consomés	sopas-cremas-instantaneos
Construcción	materiales-construccion
Consumible sublimación	impresoras
Consumibles	impresoras
Contactos	electricidad
Contadoras y Detectores de Billetes	punto-de-venta
Control de acceso	seguridad-vigilancia
Control de diabetes	equipo-medico
Control de entrada	seguridad-vigilancia
Control de insectos	insecticidas-ambientadores
Control de Peso	vitaminas-suplementos
Control de Plagas	insecticidas-ambientadores
Control gaming	videojuegos
Control remoto	tv-video
Control y confort de aire	climatizacion
Controles	videojuegos
Controles remoto de TV y Android TV	tv-video
Controles Remotos	tv-video
Convertidor de Señal	tv-video
Convertidores de voltaje y adaptadores de contactos para viaje	cables-adaptadores
Cooktops de Gas	estufas-hornos
Cooktops Eléctricas	estufas-hornos
Copas descartables	desechables
Core i5	computadoras
Corrales	puericultura-coches-sillas
Correctores	escritura-correccion
Correctores,Liquido, Cinta	escritura-correccion
Cortadoras de cabello	cuidado-personal-electrico
Cortadoras de césped	jardin-exteriores
Cortadoras de Cesped y Podadoras	jardin-exteriores
Cortadoras Nasal	cuidado-personal-electrico
Cortadoras y Afeitadoras	cuidado-personal-electrico
Cortadoras y bordeadoras	jardin-exteriores
Cortadores Manuales	herramientas-manuales
Cortagrama	jardin-exteriores
Cortes con Hueso	carne-de-res
Cortes y Parrilla	carne-de-res
Cortinas	decoracion-muebles
Cortinas y Accesorios	decoracion-muebles
Cortinas y Persianas	decoracion-muebles
Cosmeticos	maquillaje-cosmetologia
CPAP y BIPAP	equipo-medico
CPU Blocks	componentes-pc
Crayones	escritura-correccion
Crayones y tizas	escritura-correccion
Crayones, Marcadores y Colores	escritura-correccion
Creación de Contenido	camaras-drones
Creator	bloques-construccion
Crema	quesos-cremas
Crema agria	quesos-cremas
Crema batida	quesos-cremas
Crema de Avellana y Mantequilla de Maní	cereales-avenas-barras
Crema facial	cuidado-facial-corporal
Crema o Natilla	quesos-cremas
Crema para café	cafe-te-modificadores
Crema para peinar	cuidado-del-cabello
Crema, gel y loción para bebé	cuidado-higiene-bebe
Cremas corporales	cuidado-facial-corporal
Cremas Dentales	cuidado-bucal
Cremas Instantáneas	sopas-cremas-instantaneos
Cremas y Aceites	cuidado-facial-corporal
Cremas y Tratamientos	cuidado-facial-corporal
CRISTALERIA	accesorios-mesa-vajillas
Crutones	harinas-mezclas-reposteria
Cuadernos	cuadernos-libretas-hojas
Cuadernos cosido	cuadernos-libretas-hojas
Cuadernos espiral 1 materia	cuadernos-libretas-hojas
Cuadernos espiral 10 materia	cuadernos-libretas-hojas
Cuadernos espiral 2 materia	cuadernos-libretas-hojas
Cuadernos espiral 3 materia	cuadernos-libretas-hojas
Cuadernos espiral 5 materias	cuadernos-libretas-hojas
Cuadernos grapado	cuadernos-libretas-hojas
Cuadernos único	cuadernos-libretas-hojas
Cuadernos y agendas	cuadernos-libretas-hojas
Cuadernos y carpetas	cuadernos-libretas-hojas
Cuadernos,Libretas, Libros	cuadernos-libretas-hojas
Cuadros, Retratera y Adornos de Pared	decoracion-muebles
Cuatrimotos	motos-y-cuatrimotos
Cubertería de mesa	accesorios-mesa-vajillas
Cubierta para colchones	camas-colchones-blancos
Cubiertos comerciales	accesorios-mesa-vajillas
Cubiertos descartables	desechables
Cubiertos y cuchillería	accesorios-mesa-vajillas
Cubiertos y Cuchillos	accesorios-mesa-vajillas
Cubiertos y mantelería descartable	desechables
Cubiertos, vajilla y utensilios para servir	accesorios-mesa-vajillas
Cubos de Carga	accesorios-celular
Cubos Multipuerto	cables-adaptadores
Cubos USB A	cables-adaptadores
Cubos USB C	cables-adaptadores
Cuchillas	herramientas-manuales
Cuentos	libros
Cuerdas y Ligas	fijacion-herrajes
Cuidado Bucal	cuidado-bucal
Cuidado Corporal	cuidado-facial-corporal
Cuidado de heridas y ostomía	primeros-auxilios
Cuidado de la Mujer	higiene-femenina
Cuidado de la piel	cuidado-facial-corporal
Cuidado de los Pies	jabones-geles-bano
Cuidado de Pies	jabones-geles-bano
Cuidado del cabello	cuidado-del-cabello
Cuidado del Hombre	jabones-geles-bano
Cuidado del pie	jabones-geles-bano
Cuidado del rostro	cuidado-facial-corporal
Cuidado en casa	equipo-medico
Cuidado Facial	cuidado-facial-corporal
Cuidado Íntimo	higiene-femenina
Cuidado Ocular y Ótico	medicamentos
Cuidado oral	cuidado-bucal
Cuidado para Zapatos	calzado
Cuidado personal	jabones-geles-bano
Cuidado y Limpieza	limpiadores-desinfectantes
Cuidado y protección	cuidado-higiene-bebe
Culantro-Cilantro	hierbas-aromaticas
Cunas y encierros	puericultura-coches-sillas
Cunas, coches y accesorios	puericultura-coches-sillas
Cupcakes	panaderia-reposteria
Curiosidades y Más	curiosidades
Curitas y Vendajes	primeros-auxilios
Days of Play	-
DDR4	componentes-pc
DDR5	componentes-pc
de Contacto	medicamentos
De Fibra y Light	cereales-avenas-barras
Decoración de fiesta	fiestas
Decoración del hogar	decoracion-muebles
Decoración e iluminación	decoracion-muebles
Decoración Halloween	halloween
Decoración y Muebles	decoracion-muebles
Decoraciones navideñas	navidad
Decoraciones para Halloween	halloween
Delantal, Guantes y Toallas	accesorios-para-cocina
DELICATESEN	comidas-preparadas
Delineador de ojos y cejas	maquillaje-cosmetologia
Depilación y Afeitado	afeitado-depilacion
Depiladoras	cuidado-personal-electrico
Depiladoras y Masajeadores	cuidado-personal-electrico
Deporte de salon	disciplinas-deportivas
Deportes	-
Deportes acuáticos	disciplinas-deportivas
Deportes y fitness	-
DERIVADOS	quesos-cremas
Dermatología	cuidado-facial-corporal
Dermatológicos	medicamentos
Desague,Extenciones,Guias y Sifones	plomeria
Desarmadores	herramientas-manuales
Desarrollo y estimulación	juguetes-bebes-estimulacion
Descongestionantes	gripe-tos-resfriado
Desechables	desechables
Desktop nuevas	computadoras
Desktop remanufacturadas	computadoras
Desktop usadas	computadoras
Desmaquillante y agua micelar	cuidado-facial-corporal
Desodorante	desodorantes-antitranspirantes
Desodorante y Antitranspirante para pies	desodorantes-antitranspirantes
Desodorantes	desodorantes-antitranspirantes
Desparasitantes	medicamentos
Destapacaños	limpiadores-desinfectantes
Detergente	detergentes-suavizantes
Detergente en polvo	detergentes-suavizantes
Detergente líquido	detergentes-suavizantes
Detergentes para ropa	detergentes-suavizantes
Detergentes para vajilla	lavaplatos-desengrasantes
Dia de la Madre	-
Día de la Madre	-
Día de la Mujer	-
Día del Padre	-
Diabetes	medicamentos
Diábetes	medicamentos
Diagnóstico	equipo-medico
Días Más Baratos	-
Diccionarios	libros
Didactico	juguetes-educativos
Didáctico	juguetes-educativos
Difusores	insecticidas-ambientadores
Digestión	salud-digestiva
Digestión/Colon	salud-digestiva
Diodos	componentes-electronicos
Dip	comidas-preparadas
Disco duro externo	almacenamiento-datos
Disco duro interno	almacenamiento-datos
Discos duros	almacenamiento-datos
Discos duros internos	almacenamiento-datos
Discos duros y memorias	almacenamiento-datos
Disfraces	fiestas
Disfraces, máscaras y sombreros	fiestas
Disipadores de calor	componentes-pc
Disney	munecas-figuras-vehiculos
Dispensadores	bano
Dispensadores de agua	refrigeracion
Dispensadores de bebidas	accesorios-mesa-vajillas
Dispensadores de Comida	juguetes-accesorios-mascotas
Displays	componentes-electronicos
Dispositivos para Streaming	tv-video
Dispositivos y aparatos médicos	equipo-medico
Diunsa Land	-
Diuréticos	medicamentos
Dolor de Cabeza y Migraña	analgesicos-antiinflamatorios
Dolor Menstrual	analgesicos-antiinflamatorios
Dolor Muscular y Articular	analgesicos-antiinflamatorios
Dolor y Fiebre	analgesicos-antiinflamatorios
Donaciones	-
Donas y churros	panaderia-reposteria
Doppler	equipo-medico
Dormitorio	muebles
Dos en Uno	cuidado-del-cabello
